Listing_ID,Price,Bedrooms,Bathrooms,City,Neighborhood,Property_Type,Square_Feet,Year_Built,Has_Backyard,Description
ATX-10011,455000,2,1.5,Georgetown,Cedar Park Center,Townhouse,2780,2016,False,"Updated ranch home in Cedar Park Center, Georgetown. The home offers single-level layout with comfortable living spaces, 2 bedrooms, and 1.5 bathrooms. It features a covered patio for outdoor dining, with approximately 2780 sq ft of living space. Built in 2016, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10012,466000,3,2.0,Leander,Round Rock West,Condo,2953,2023,False,"Contemporary townhouse in Round Rock West, Leander. The home offers clean lines, open living areas, and low-maintenance design, 3 bedrooms, and 2 bathrooms. It features a attached two-car garage, with approximately 2953 sq ft of living space. Built in 2023, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10013,477000,4,2.5,Austin,Teravista,Single Family,3126,1991,False,"Bright corner condo in Teravista, Austin. The home offers large windows and an efficient open layout, 4 bedrooms, and 2.5 bathrooms. It features a private swimming pool, with approximately 3126 sq ft of living space. Built in 1991, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10014,632000,3,3.0,Round Rock,Brushy Creek,Townhouse,1099,1998,False,"Renovated cottage in Brushy Creek, Round Rock. The home offers warm interiors and a private outdoor space, 3 bedrooms, and 3 bathrooms. It features a dedicated home office, with approximately 1099 sq ft of living space. Built in 1998, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10015,302500,5,3.5,Cedar Park,Falcon Pointe,Condo,1272,2005,True,"Spacious suburban home in Falcon Pointe, Cedar Park. The home offers generous living areas and a flexible floor plan, 5 bedrooms, and 3.5 bathrooms. It features a low-maintenance garden, with approximately 1272 sq ft of living space. Built in 2005, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10016,471250,2,1.5,Pflugerville,Old Town,Single Family,1445,2012,True,"Modern condo in Old Town, Pflugerville. The home offers updated finishes and convenient city access, 2 bedrooms, and 1.5 bathrooms. It features a wooden deck overlooking the yard, with approximately 1445 sq ft of living space. Built in 2012, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10017,370000,3,2.0,Georgetown,Sunset Valley,Townhouse,1618,2019,True,"Charming bungalow in Sunset Valley, Georgetown. The home offers tree-lined street with an inviting front porch, 3 bedrooms, and 2 bathrooms. It features a private fenced backyard, with approximately 1618 sq ft of living space. Built in 2019, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10018,333750,4,2.5,Leander,Lakeway,Condo,1791,1987,True,"Modern family home in Lakeway, Leander. The home offers open-concept living area and practical floor plan, 4 bedrooms, and 2.5 bathrooms. It features a large landscaped backyard, with approximately 1791 sq ft of living space. Built in 1987, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10019,567500,3,3.0,Austin,Leander North,Single Family,1964,1994,False,"Updated ranch home in Leander North, Austin. The home offers single-level layout with comfortable living spaces, 3 bedrooms, and 3 bathrooms. It features a covered patio for outdoor dining, with approximately 1964 sq ft of living space. Built in 1994, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10020,436250,5,3.5,Round Rock,Downtown,Townhouse,2137,2001,False,"Contemporary townhouse in Downtown, Round Rock. The home offers clean lines, open living areas, and low-maintenance design, 5 bedrooms, and 3.5 bathrooms. It features a attached two-car garage, with approximately 2137 sq ft of living space. Built in 2001, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10021,490000,2,1.5,Cedar Park,East Austin,Condo,2310,2008,False,"Bright corner condo in East Austin, Cedar Park. The home offers large windows and an efficient open layout, 2 bedrooms, and 1.5 bathrooms. It features a private swimming pool, with approximately 2310 sq ft of living space. Built in 2008, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10022,426000,3,2.0,Pflugerville,South Congress,Single Family,2483,2015,False,"Renovated cottage in South Congress, Pflugerville. The home offers warm interiors and a private outdoor space, 3 bedrooms, and 2 bathrooms. It features a dedicated home office, with approximately 2483 sq ft of living space. Built in 2015, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10023,437000,4,2.5,Georgetown,Zilker,Townhouse,2656,2022,True,"Spacious suburban home in Zilker, Georgetown. The home offers generous living areas and a flexible floor plan, 4 bedrooms, and 2.5 bathrooms. It features a low-maintenance garden, with approximately 2656 sq ft of living space. Built in 2022, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10024,416250,3,3.0,Leander,Mueller,Condo,2829,1990,True,"Modern condo in Mueller, Leander. The home offers updated finishes and convenient city access, 3 bedrooms, and 3 bathrooms. It features a wooden deck overlooking the yard, with approximately 2829 sq ft of living space. Built in 1990, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10025,650000,5,3.5,Austin,North Loop,Single Family,3002,1997,True,"Charming bungalow in North Loop, Austin. The home offers tree-lined street with an inviting front porch, 5 bedrooms, and 3.5 bathrooms. It features a private fenced backyard, with approximately 3002 sq ft of living space. Built in 1997, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10026,518750,2,1.5,Round Rock,Hyde Park,Townhouse,3175,2004,True,"Modern family home in Hyde Park, Round Rock. The home offers open-concept living area and practical floor plan, 2 bedrooms, and 1.5 bathrooms. It features a large landscaped backyard, with approximately 3175 sq ft of living space. Built in 2004, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10027,619000,3,2.0,Cedar Park,Bouldin,Condo,1148,2011,False,"Updated ranch home in Bouldin, Cedar Park. The home offers single-level layout with comfortable living spaces, 3 bedrooms, and 2 bathrooms. It features a covered patio for outdoor dining, with approximately 1148 sq ft of living space. Built in 2011, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10028,636250,4,2.5,Pflugerville,Clarksville,Single Family,1321,2018,False,"Contemporary townhouse in Clarksville, Pflugerville. The home offers clean lines, open living areas, and low-maintenance design, 4 bedrooms, and 2.5 bathrooms. It features a attached two-car garage, with approximately 1321 sq ft of living space. Built in 2018, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10029,345000,3,3.0,Georgetown,Westlake,Townhouse,1494,1986,False,"Bright corner condo in Westlake, Georgetown. The home offers large windows and an efficient open layout, 3 bedrooms, and 3 bathrooms. It features a private swimming pool, with approximately 1494 sq ft of living space. Built in 1986, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10030,308750,5,3.5,Leander,Cedar Park Center,Condo,1667,1993,False,"Renovated cottage in Cedar Park Center, Leander. The home offers warm interiors and a private outdoor space, 5 bedrooms, and 3.5 bathrooms. It features a dedicated home office, with approximately 1667 sq ft of living space. Built in 1993, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10031,450000,2,1.5,Austin,Round Rock West,Single Family,1840,2000,True,"Spacious suburban home in Round Rock West, Austin. The home offers generous living areas and a flexible floor plan, 2 bedrooms, and 1.5 bathrooms. It features a low-maintenance garden, with approximately 1840 sq ft of living space. Built in 2000, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10032,461000,3,2.0,Round Rock,Teravista,Townhouse,2013,2007,True,"Modern condo in Teravista, Round Rock. The home offers updated finishes and convenient city access, 3 bedrooms, and 2 bathrooms. It features a wooden deck overlooking the yard, with approximately 2013 sq ft of living space. Built in 2007, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10033,472000,4,2.5,Cedar Park,Brushy Creek,Condo,2186,2014,True,"Charming bungalow in Brushy Creek, Cedar Park. The home offers tree-lined street with an inviting front porch, 4 bedrooms, and 2.5 bathrooms. It features a private fenced backyard, with approximately 2186 sq ft of living space. Built in 2014, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10034,528750,3,3.0,Pflugerville,Falcon Pointe,Single Family,2359,2021,True,"Modern family home in Falcon Pointe, Pflugerville. The home offers open-concept living area and practical floor plan, 3 bedrooms, and 3 bathrooms. It features a large landscaped backyard, with approximately 2359 sq ft of living space. Built in 2021, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10035,427500,5,3.5,Georgetown,Old Town,Townhouse,2532,1989,False,"Updated ranch home in Old Town, Georgetown. The home offers single-level layout with comfortable living spaces, 5 bedrooms, and 3.5 bathrooms. It features a covered patio for outdoor dining, with approximately 2532 sq ft of living space. Built in 1989, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10036,391250,2,1.5,Leander,Sunset Valley,Condo,2705,1996,False,"Contemporary townhouse in Sunset Valley, Leander. The home offers clean lines, open living areas, and low-maintenance design, 2 bedrooms, and 1.5 bathrooms. It features a attached two-car garage, with approximately 2705 sq ft of living space. Built in 1996, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10037,625000,3,2.0,Austin,Lakeway,Single Family,2878,2003,False,"Bright corner condo in Lakeway, Austin. The home offers large windows and an efficient open layout, 3 bedrooms, and 2 bathrooms. It features a private swimming pool, with approximately 2878 sq ft of living space. Built in 2003, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10038,493750,4,2.5,Round Rock,Leander North,Townhouse,3051,2010,False,"Renovated cottage in Leander North, Round Rock. The home offers warm interiors and a private outdoor space, 4 bedrooms, and 2.5 bathrooms. It features a dedicated home office, with approximately 3051 sq ft of living space. Built in 2010, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10039,442500,3,3.0,Cedar Park,Downtown,Condo,3224,2017,True,"Spacious suburban home in Downtown, Cedar Park. The home offers generous living areas and a flexible floor plan, 3 bedrooms, and 3 bathrooms. It features a low-maintenance garden, with approximately 3224 sq ft of living space. Built in 2017, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10040,606000,5,3.5,Pflugerville,East Austin,Single Family,1197,1985,True,"Modern condo in East Austin, Pflugerville. The home offers updated finishes and convenient city access, 5 bedrooms, and 3.5 bathrooms. It features a wooden deck overlooking the yard, with approximately 1197 sq ft of living space. Built in 1985, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10041,485000,2,1.5,Georgetown,South Congress,Townhouse,1370,1992,True,"Charming bungalow in South Congress, Georgetown. The home offers tree-lined street with an inviting front porch, 2 bedrooms, and 1.5 bathrooms. It features a private fenced backyard, with approximately 1370 sq ft of living space. Built in 1992, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10042,421000,3,2.0,Leander,Zilker,Condo,1543,1999,True,"Modern family home in Zilker, Leander. The home offers open-concept living area and practical floor plan, 3 bedrooms, and 2 bathrooms. It features a large landscaped backyard, with approximately 1543 sq ft of living space. Built in 1999, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10043,432000,4,2.5,Austin,Mueller,Single Family,1716,2006,False,"Updated ranch home in Mueller, Austin. The home offers single-level layout with comfortable living spaces, 4 bedrooms, and 2.5 bathrooms. It features a covered patio for outdoor dining, with approximately 1716 sq ft of living space. Built in 2006, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10044,386250,3,3.0,Round Rock,North Loop,Townhouse,1889,2013,False,"Contemporary townhouse in North Loop, Round Rock. The home offers clean lines, open living areas, and low-maintenance design, 3 bedrooms, and 3 bathrooms. It features a attached two-car garage, with approximately 1889 sq ft of living space. Built in 2013, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10045,335000,5,3.5,Cedar Park,Hyde Park,Condo,2062,2020,False,"Bright corner condo in Hyde Park, Cedar Park. The home offers large windows and an efficient open layout, 5 bedrooms, and 3.5 bathrooms. It features a private swimming pool, with approximately 2062 sq ft of living space. Built in 2020, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10046,503750,2,1.5,Pflugerville,Bouldin,Single Family,2235,1988,False,"Renovated cottage in Bouldin, Pflugerville. The home offers warm interiors and a private outdoor space, 2 bedrooms, and 1.5 bathrooms. It features a dedicated home office, with approximately 2235 sq ft of living space. Built in 1988, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10047,402500,3,2.0,Georgetown,Clarksville,Townhouse,2408,1995,True,"Spacious suburban home in Clarksville, Georgetown. The home offers generous living areas and a flexible floor plan, 3 bedrooms, and 2 bathrooms. It features a low-maintenance garden, with approximately 2408 sq ft of living space. Built in 1995, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10048,366250,4,2.5,Leander,Westlake,Condo,2581,2002,True,"Modern condo in Westlake, Leander. The home offers updated finishes and convenient city access, 4 bedrooms, and 2.5 bathrooms. It features a wooden deck overlooking the yard, with approximately 2581 sq ft of living space. Built in 2002, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10049,600000,3,3.0,Austin,Cedar Park Center,Single Family,2754,2009,True,"Charming bungalow in Cedar Park Center, Austin. The home offers tree-lined street with an inviting front porch, 3 bedrooms, and 3 bathrooms. It features a private fenced backyard, with approximately 2754 sq ft of living space. Built in 2009, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10050,468750,5,3.5,Round Rock,Round Rock West,Townhouse,2927,2016,True,"Modern family home in Round Rock West, Round Rock. The home offers open-concept living area and practical floor plan, 5 bedrooms, and 3.5 bathrooms. It features a large landscaped backyard, with approximately 2927 sq ft of living space. Built in 2016, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10051,445000,2,1.5,Cedar Park,Teravista,Condo,3100,2023,False,"Updated ranch home in Teravista, Cedar Park. The home offers single-level layout with comfortable living spaces, 2 bedrooms, and 1.5 bathrooms. It features a covered patio for outdoor dining, with approximately 3100 sq ft of living space. Built in 2023, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10052,456000,3,2.0,Pflugerville,Brushy Creek,Single Family,1073,1991,False,"Contemporary townhouse in Brushy Creek, Pflugerville. The home offers clean lines, open living areas, and low-maintenance design, 3 bedrooms, and 2 bathrooms. It features a attached two-car garage, with approximately 1073 sq ft of living space. Built in 1991, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10053,467000,4,2.5,Georgetown,Falcon Pointe,Townhouse,1246,1998,False,"Bright corner condo in Falcon Pointe, Georgetown. The home offers large windows and an efficient open layout, 4 bedrooms, and 2.5 bathrooms. It features a private swimming pool, with approximately 1246 sq ft of living space. Built in 1998, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10054,448750,3,3.0,Leander,Old Town,Condo,1419,2005,False,"Renovated cottage in Old Town, Leander. The home offers warm interiors and a private outdoor space, 3 bedrooms, and 3 bathrooms. It features a dedicated home office, with approximately 1419 sq ft of living space. Built in 2005, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10055,682500,5,3.5,Austin,Sunset Valley,Single Family,1592,2012,True,"Spacious suburban home in Sunset Valley, Austin. The home offers generous living areas and a flexible floor plan, 5 bedrooms, and 3.5 bathrooms. It features a low-maintenance garden, with approximately 1592 sq ft of living space. Built in 2012, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10056,551250,2,1.5,Round Rock,Lakeway,Townhouse,1765,2019,True,"Modern condo in Lakeway, Round Rock. The home offers updated finishes and convenient city access, 2 bedrooms, and 1.5 bathrooms. It features a wooden deck overlooking the yard, with approximately 1765 sq ft of living space. Built in 2019, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10057,310000,3,2.0,Cedar Park,Leander North,Condo,1938,1987,True,"Charming bungalow in Leander North, Cedar Park. The home offers tree-lined street with an inviting front porch, 3 bedrooms, and 2 bathrooms. It features a private fenced backyard, with approximately 1938 sq ft of living space. Built in 1987, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10058,478750,4,2.5,Pflugerville,Downtown,Single Family,2111,1994,True,"Modern family home in Downtown, Pflugerville. The home offers open-concept living area and practical floor plan, 4 bedrooms, and 2.5 bathrooms. It features a large landscaped backyard, with approximately 2111 sq ft of living space. Built in 1994, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10059,377500,3,3.0,Georgetown,East Austin,Townhouse,2284,2001,False,"Updated ranch home in East Austin, Georgetown. The home offers single-level layout with comfortable living spaces, 3 bedrooms, and 3 bathrooms. It features a covered patio for outdoor dining, with approximately 2284 sq ft of living space. Built in 2001, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10060,341250,5,3.5,Leander,South Congress,Condo,2457,2008,False,"Contemporary townhouse in South Congress, Leander. The home offers clean lines, open living areas, and low-maintenance design, 5 bedrooms, and 3.5 bathrooms. It features a attached two-car garage, with approximately 2457 sq ft of living space. Built in 2008, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10061,480000,2,1.5,Austin,Zilker,Single Family,2630,2015,False,"Bright corner condo in Zilker, Austin. The home offers large windows and an efficient open layout, 2 bedrooms, and 1.5 bathrooms. It features a private swimming pool, with approximately 2630 sq ft of living space. Built in 2015, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10062,491000,3,2.0,Round Rock,Mueller,Townhouse,2803,2022,False,"Renovated cottage in Mueller, Round Rock. The home offers warm interiors and a private outdoor space, 3 bedrooms, and 2 bathrooms. It features a dedicated home office, with approximately 2803 sq ft of living space. Built in 2022, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10063,427000,4,2.5,Cedar Park,North Loop,Condo,2976,1990,True,"Spacious suburban home in North Loop, Cedar Park. The home offers generous living areas and a flexible floor plan, 4 bedrooms, and 2.5 bathrooms. It features a low-maintenance garden, with approximately 2976 sq ft of living space. Built in 1990, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10064,561250,3,3.0,Pflugerville,Hyde Park,Single Family,3149,1997,True,"Modern condo in Hyde Park, Pflugerville. The home offers updated finishes and convenient city access, 3 bedrooms, and 3 bathrooms. It features a wooden deck overlooking the yard, with approximately 3149 sq ft of living space. Built in 1997, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10065,460000,5,3.5,Georgetown,Bouldin,Townhouse,1122,2004,True,"Charming bungalow in Bouldin, Georgetown. The home offers tree-lined street with an inviting front porch, 5 bedrooms, and 3.5 bathrooms. It features a private fenced backyard, with approximately 1122 sq ft of living space. Built in 2004, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10066,580000,2,1.5,Leander,Clarksville,Condo,1295,2011,True,"Modern family home in Clarksville, Leander. The home offers open-concept living area and practical floor plan, 2 bedrooms, and 1.5 bathrooms. It features a large landscaped backyard, with approximately 1295 sq ft of living space. Built in 2011, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10067,657500,3,2.0,Austin,Westlake,Single Family,1468,2018,False,"Updated ranch home in Westlake, Austin. The home offers single-level layout with comfortable living spaces, 3 bedrooms, and 2 bathrooms. It features a covered patio for outdoor dining, with approximately 1468 sq ft of living space. Built in 2018, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10068,526250,4,2.5,Round Rock,Cedar Park Center,Townhouse,1641,1986,False,"Contemporary townhouse in Cedar Park Center, Round Rock. The home offers clean lines, open living areas, and low-maintenance design, 4 bedrooms, and 2.5 bathrooms. It features a attached two-car garage, with approximately 1641 sq ft of living space. Built in 1986, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10069,475000,3,3.0,Cedar Park,Round Rock West,Condo,1814,1993,False,"Bright corner condo in Round Rock West, Cedar Park. The home offers large windows and an efficient open layout, 3 bedrooms, and 3 bathrooms. It features a private swimming pool, with approximately 1814 sq ft of living space. Built in 1993, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10070,643750,5,3.5,Pflugerville,Teravista,Single Family,1987,2000,False,"Renovated cottage in Teravista, Pflugerville. The home offers warm interiors and a private outdoor space, 5 bedrooms, and 3.5 bathrooms. It features a dedicated home office, with approximately 1987 sq ft of living space. Built in 2000, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10071,440000,2,1.5,Georgetown,Brushy Creek,Townhouse,2160,2007,True,"Spacious suburban home in Brushy Creek, Georgetown. The home offers generous living areas and a flexible floor plan, 2 bedrooms, and 1.5 bathrooms. It features a low-maintenance garden, with approximately 2160 sq ft of living space. Built in 2007, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10072,451000,3,2.0,Leander,Falcon Pointe,Condo,2333,2014,True,"Modern condo in Falcon Pointe, Leander. The home offers updated finishes and convenient city access, 3 bedrooms, and 2 bathrooms. It features a wooden deck overlooking the yard, with approximately 2333 sq ft of living space. Built in 2014, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10073,462000,4,2.5,Austin,Old Town,Single Family,2506,2021,True,"Charming bungalow in Old Town, Austin. The home offers tree-lined street with an inviting front porch, 4 bedrooms, and 2.5 bathrooms. It features a private fenced backyard, with approximately 2506 sq ft of living space. Built in 2021, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10074,418750,3,3.0,Round Rock,Sunset Valley,Townhouse,2679,1989,True,"Modern family home in Sunset Valley, Round Rock. The home offers open-concept living area and practical floor plan, 3 bedrooms, and 3 bathrooms. It features a large landscaped backyard, with approximately 2679 sq ft of living space. Built in 1989, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10075,367500,5,3.5,Cedar Park,Lakeway,Condo,2852,1996,False,"Updated ranch home in Lakeway, Cedar Park. The home offers single-level layout with comfortable living spaces, 5 bedrooms, and 3.5 bathrooms. It features a covered patio for outdoor dining, with approximately 2852 sq ft of living space. Built in 1996, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10076,536250,2,1.5,Pflugerville,Leander North,Single Family,3025,2003,False,"Contemporary townhouse in Leander North, Pflugerville. The home offers clean lines, open living areas, and low-maintenance design, 2 bedrooms, and 1.5 bathrooms. It features a attached two-car garage, with approximately 3025 sq ft of living space. Built in 2003, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10077,435000,3,2.0,Georgetown,Downtown,Townhouse,3198,2010,False,"Bright corner condo in Downtown, Georgetown. The home offers large windows and an efficient open layout, 3 bedrooms, and 2 bathrooms. It features a private swimming pool, with approximately 3198 sq ft of living space. Built in 2010, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10078,398750,4,2.5,Leander,East Austin,Condo,1171,2017,False,"Renovated cottage in East Austin, Leander. The home offers warm interiors and a private outdoor space, 4 bedrooms, and 2.5 bathrooms. It features a dedicated home office, with approximately 1171 sq ft of living space. Built in 2017, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10079,567000,3,3.0,Austin,South Congress,Single Family,1344,1985,True,"Spacious suburban home in South Congress, Austin. The home offers generous living areas and a flexible floor plan, 3 bedrooms, and 3 bathrooms. It features a low-maintenance garden, with approximately 1344 sq ft of living space. Built in 1985, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
